date,round,white_id,black_id,white_elo,black_elo,white_title,black_title,result
2019-09-13,2.1,4126025,1017063,2759.0,2640.0,GM,GM,1/2-1/2
2019-09-13,2.1,4189302,13400924,2662.0,2758.0,GM,GM,1/2-1/2
2019-09-13,2.1,24101605,2905540,2746.0,2670.0,GM,GM,1-0
2019-09-13,2.1,5018471,8603820,2639.0,2763.0,GM,GM,1/2-1/2
2019-09-13,2.1,14109603,2040506,2760.0,2654.0,GM,GM,1-0
2019-09-13,2.1,1202758,2016192,2656.0,2745.0,GM,GM,1-0
2019-09-13,2.1,4158814,13702661,2741.0,2630.0,GM,GM,1/2-1/2
2019-09-13,2.1,4135539,1512668,2671.0,2558.0,GM,GM,1/2-1/2
2019-09-13,2.1,5007003,24130737,2746.0,2664.0,GM,GM,1-0
2019-09-13,2.1,2809052,1170546,2658.0,2730.0,GM,GM,0-1
2019-09-13,2.1,4102142,24175439,2729.0,2624.0,GM,GM,1/2-1/2
2019-09-13,2.1,24604747,4152956,2620.0,2732.0,GM,GM,1/2-1/2
2019-09-13,2.1,8603405,2285525,2721.0,2674.0,GM,GM,0-1
2019-09-13,2.1,14105730,12401137,2679.0,2708.0,GM,GM,1/2-1/2
2019-09-13,2.1,24131423,404853,2577.0,2682.0,GM,GM,1/2-1/2
2019-09-13,2.1,4162722,8608288,2693.0,2576.0,GM,GM,1/2-1/2
2019-09-13,2.1,8602883,2806851,2726.0,2684.0,GM,GM,1/2-1/2
2019-09-13,2.1,25092340,13402129,2610.0,2593.0,GM,GM,1-0
2019-09-13,2.1,4168003,2805677,2716.0,2686.0,GM,GM,1/2-1/2
2019-09-13,2.1,5072786,4147235,2609.0,2718.0,GM,GM,0-1
2019-09-13,2.1,5029465,4173708,2718.0,2606.0,GM,GM,1/2-1/2
2019-09-13,2.1,409561,4122356,2688.0,2681.0,GM,GM,1/2-1/2
2019-09-13,2.1,2047640,12521213,2707.0,2642.0,GM,GM,1/2-1/2
2019-09-13,2.1,24126055,12573981,2699.0,2702.0,GM,GM,1/2-1/2
2019-09-14,2.2,310204,8603677,2654.0,2811.0,GM,GM,1/2-1/2
2019-09-14,2.2,24116068,4118987,2780.0,2635.0,GM,GM,1/2-1/2
2019-09-14,2.2,14117908,623539,2674.0,2774.0,GM,GM,0-1
2019-09-14,2.2,5202213,4160258,2767.0,2655.0,GM,GM,1-0
2019-09-14,2.2,24107581,4168119,2657.0,2776.0,GM,GM,0-1
2019-09-14,2.2,13300474,12539929,2758.0,2664.0,GM,GM,1/2-1/2
2019-09-14,2.2,14200244,13401319,2657.0,2767.0,GM,GM,1/2-1/2
2019-09-14,2.2,3503240,13402960,2763.0,2632.0,GM,GM,1/2-1/2
2019-09-14,2.2,1017063,4126025,2640.0,2759.0,GM,GM,1/2-1/2
2019-09-14,2.2,13400924,4189302,2758.0,2662.0,GM,GM,1/2-1/2
2019-09-14,2.2,2905540,24101605,2670.0,2746.0,GM,GM,1/2-1/2
2019-09-14,2.2,8603820,5018471,2763.0,2639.0,GM,GM,1/2-1/2
2019-09-14,2.2,2040506,14109603,2654.0,2760.0,GM,GM,0-1
2019-09-14,2.2,2016192,1202758,2745.0,2656.0,GM,GM,1/2-1/2
2019-09-14,2.2,13702661,4158814,2630.0,2741.0,GM,GM,0-1
2019-09-14,2.2,1512668,4135539,2558.0,2671.0,GM,GM,1/2-1/2
2019-09-14,2.2,24130737,5007003,2664.0,2746.0,GM,GM,1/2-1/2
2019-09-14,2.2,1170546,2809052,2730.0,2658.0,GM,GM,1-0
2019-09-14,2.2,24175439,4102142,2624.0,2729.0,GM,GM,1/2-1/2
2019-09-14,2.2,4152956,24604747,2732.0,2620.0,GM,GM,1/2-1/2
2019-09-14,2.2,2285525,8603405,2674.0,2721.0,GM,GM,0-1
2019-09-14,2.2,12401137,14105730,2708.0,2679.0,GM,GM,1-0
2019-09-14,2.2,404853,24131423,2682.0,2577.0,GM,GM,1/2-1/2
2019-09-14,2.2,8608288,4162722,2576.0,2693.0,GM,GM,1-0
2019-09-14,2.2,2806851,8602883,2684.0,2726.0,GM,GM,0-1
2019-09-14,2.2,13402129,25092340,2593.0,2610.0,GM,GM,1-0
2019-09-14,2.2,2805677,4168003,2686.0,2716.0,GM,GM,1/2-1/2
2019-09-14,2.2,4147235,5072786,2718.0,2609.0,GM,GM,1/2-1/2
2019-09-14,2.2,4173708,5029465,2606.0,2718.0,GM,GM,0-1
2019-09-14,2.2,4122356,409561,2681.0,2688.0,GM,GM,1/2-1/2
2019-09-14,2.2,12521213,2047640,2642.0,2707.0,GM,GM,1/2-1/2
2019-09-14,2.2,12573981,24126055,2702.0,2699.0,GM,GM,1-0
2019-09-15,2.3,8603677,310204,2811.0,2654.0,GM,GM,1-0
2019-09-15,2.3,4118987,24116068,2635.0,2780.0,GM,GM,1/2-1/2
2019-09-15,2.3,3503240,13402960,2763.0,2632.0,GM,GM,1-0
2019-09-15,2.3,4126025,1017063,2759.0,2640.0,GM,GM,1/2-1/2
2019-09-15,2.3,4189302,13400924,2662.0,2758.0,GM,GM,1/2-1/2
2019-09-15,2.3,5018471,8603820,2639.0,2763.0,GM,GM,0-1
2019-09-15,2.3,4135539,1512668,2671.0,2558.0,GM,GM,1-0
2019-09-15,2.3,24175439,4102142,2624.0,2729.0,GM,GM,0-1
2019-09-15,2.3,4152956,24604747,2732.0,2620.0,GM,GM,1-0
2019-09-15,2.3,8603405,2285525,2721.0,2674.0,GM,GM,1/2-1/2
2019-09-15,2.3,404853,24131423,2682.0,2577.0,GM,GM,0-1
2019-09-15,2.3,13402129,25092340,2593.0,2610.0,GM,GM,1-0
2019-09-15,2.3,4168003,2805677,2716.0,2686.0,GM,GM,1-0
2019-09-15,2.3,4122356,409561,2681.0,2688.0,GM,GM,1-0
2019-09-15,2.3,2047640,12521213,2707.0,2642.0,GM,GM,1-0
2019-09-15,2.4,310204,8603677,2654.0,2811.0,GM,GM,1/2-1/2
